Index,Time,Ventas_VES,USD/VES,Ventas_USD
0,6/1/2020,0.00,0.20,0.00
1,6/2/2020,0.00,0.20,0.00
2,6/3/2020,0.00,0.20,0.00
3,6/4/2020,1.54,0.20,7.91
4,6/5/2020,18.82,0.20,96.53
5,6/6/2020,29.40,0.20,150.74
6,6/7/2020,21.80,0.20,110.99
7,6/8/2020,30.48,0.20,153.65
8,6/9/2020,24.18,0.26,92.82
9,6/10/2020,33.38,0.21,158.92
10,6/11/2020,32.25,0.21,154.61
11,6/12/2020,23.68,0.21,113.51
12,6/13/2020,32.21,0.21,154.39
13,6/14/2020,28.45,0.21,137.58
14,6/15/2020,23.23,0.21,113.12
15,6/16/2020,30.45,0.21,148.03
16,6/17/2020,37.75,0.21,184.13
17,6/18/2020,32.80,0.21,159.94
18,6/19/2020,28.75,0.21,140.18
19,6/20/2020,34.69,0.21,169.13
20,6/21/2020,5.02,0.21,24.38
21,6/22/2020,28.76,0.20,141.69
22,6/23/2020,26.87,0.21,129.81
23,6/24/2020,27.77,0.21,134.13
24,6/25/2020,35.02,0.21,166.66
25,6/26/2020,39.90,0.21,189.87
26,6/27/2020,38.96,0.21,185.43
27,6/28/2020,34.00,0.21,158.72
28,6/29/2020,42.78,0.21,201.45
29,6/30/2020,52.39,0.21,252.95
30,7/1/2020,42.59,0.21,207.53
31,7/2/2020,49.05,0.21,233.52
32,7/3/2020,48.33,0.21,230.09
33,7/4/2020,51.44,0.21,244.91
34,7/5/2020,36.27,0.21,168.90
35,7/6/2020,33.76,0.22,154.39
36,7/7/2020,47.27,0.22,212.47
37,7/8/2020,47.43,0.22,218.37
38,7/9/2020,44.77,0.22,200.70
39,7/10/2020,69.36,0.22,310.94
40,7/11/2020,49.32,0.22,221.11
41,7/12/2020,34.32,0.23,150.44
42,7/13/2020,40.99,0.23,177.38
43,7/14/2020,48.10,0.23,208.21
44,7/15/2020,75.48,0.23,323.96
45,7/16/2020,56.84,0.24,241.84
46,7/17/2020,54.46,0.24,231.73
47,7/18/2020,38.99,0.24,165.92
48,7/19/2020,29.57,0.24,124.30
49,7/20/2020,45.66,0.25,186.31
50,7/21/2020,44.24,0.25,175.32
51,7/22/2020,41.48,0.26,160.77
52,7/23/2020,55.87,0.26,216.55
53,7/24/2020,51.12,0.26,198.13
54,7/25/2020,68.09,0.26,263.91
55,7/26/2020,32.04,0.26,122.28
56,7/27/2020,44.28,0.26,170.25
57,7/28/2020,44.71,0.26,172.83
58,7/29/2020,39.23,0.27,147.55
59,7/30/2020,72.20,0.27,269.37
60,7/31/2020,63.85,0.27,238.24
61,8/1/2020,70.20,0.27,261.91
62,8/2/2020,39.75,0.27,148.26
63,8/3/2020,60.34,0.27,226.88
64,8/4/2020,62.81,0.27,233.85
65,8/5/2020,62.72,0.28,225.58
66,8/6/2020,52.72,0.29,178.87
67,8/7/2020,58.98,0.29,200.11
68,8/8/2020,77.27,0.29,262.18
69,8/9/2020,46.19,0.30,155.99
70,8/10/2020,54.57,0.28,194.88
71,8/11/2020,66.03,0.29,231.66
72,8/12/2020,69.27,0.29,239.74
73,8/13/2020,74.87,0.30,250.59
74,8/14/2020,78.91,0.30,264.11
75,8/15/2020,72.07,0.30,241.21
76,8/16/2020,45.26,0.29,156.12
77,8/17/2020,56.67,0.29,192.20
78,8/18/2020,69.69,0.30,229.95
79,8/19/2020,58.65,0.31,189.02
80,8/20/2020,84.85,0.31,276.40
81,8/21/2020,65.96,0.31,214.86
82,8/22/2020,67.37,0.31,219.44
83,8/23/2020,27.78,0.31,89.61
84,8/24/2020,52.28,0.32,164.72
85,8/25/2020,60.29,0.32,188.36
86,8/26/2020,105.34,0.33,319.21
87,8/27/2020,80.23,0.33,240.86
88,8/28/2020,69.21,0.33,207.78
89,8/29/2020,109.37,0.33,328.34
